Date,PG,^GSPC,MSFT,AAPL,AC.TO,SU,BA,WMT,TD,ABT
2019-02-05,94.96033478,2737.699951,105.3699341,171.1953888,31.20999908,31.11740685,398.5705566,93.28951263,53.86406326,71.94512939
2019-02-06,95.4281311,2731.610107,104.20047,171.254364,31.31999969,31.16435623,399.4742432,93.32853699,53.71224976,72.31907654
2019-02-07,94.66796875,2706.050049,103.4535751,168.01091,31.18000031,30.6197567,395.6802673,94.39220428,53.2093811,71.58102417
2019-02-08,95.22346497,2707.879883,103.8466797,168.2083282,31.36000061,30.27233887,395.4263611,93.26999664,53.39914322,72.16162872
2019-02-11,95.76921082,2709.800049,103.4339218,167.2409668,31.68000031,30.34745407,394.4888611,93.87500763,52.78242111,72.36828613
2019-02-12,96.73401642,2744.72998,105.0456314,168.6821136,31.69000053,30.54463577,401.1003113,94.62639618,53.45607376,73.86405945
2019-02-13,96.71452332,2753.030029,104.9670029,167.9812775,31.63999939,30.36623573,400.9635925,95.5729599,53.56993484,73.19490051
2019-02-14,95.95438385,2745.72998,105.0554504,168.5932922,31.97999954,30.56341743,400.221344,96.13893127,53.2947731,72.79142761
2019-02-15,95.97387695,2775.600098,106.3526764,168.2182007,33.15000153,31.82163429,408.1805115,97.57341003,53.99689865,74.05104065
2019-02-19,97.44543457,2779.76001,106.3035431,168.7215881,33.02000046,32.30989456,406.5105286,99.72999573,54.32898331,73.80501556
2019-02-20,96.75350952,2784.699951,105.7508545,169.8073883,32.88999939,32.20661545,411.6766357,97.46606445,54.92673492,74.33641815
2019-02-21,97.24079132,2774.879883,107.9813538,168.8499298,33.29999924,32.01882172,407.7996216,96.98791504,54.82236481,73.94277954
2019-02-22,97.69882202,2792.669922,109.5209732,170.7352295,33.13999939,32.10332489,414.1180725,97.14403534,55.04059219,74.91700745
2019-02-25,97.03612518,2796.110107,110.1328735,171.9789581,33.40000153,31.87797546,416.8720398,96.7244339,55.08803558,75.63537598
2019-02-26,97.28951263,2793.899902,110.8928223,172.0776672,33.91999817,32.0282135,416.774353,96.30483246,55.30625916,75.52713776
2019-02-27,96.39292908,2792.379883,110.7052994,172.6106873,34.27000046,32.50708008,425.2413025,95.73884583,55.73322678,75.99948883
2019-02-28,96.04209137,2784.48999,110.567131,170.9129181,33.11000061,32.35684586,429.655426,96.59757996,54.44284058,76.38327789
